profile_num,profile_label,scenario,quarter,E_L,P99_L,P99_E_ratio,var_tau,h_bar,follow_rate,p0_eff_mean
1,bigfour_continental,baseline,1,612.67,935.2399999999998,1.5264987676889676,0.03215023331673646,0.6999408721497921,0.0,0.0
1,bigfour_continental,baseline,2,616.655,877.3599999999997,1.4227728632703858,0.03282431407662966,0.700056792792485,0.0,0.0
1,bigfour_continental,baseline,3,598.225,891.3399999999997,1.4899745079192606,0.0335584297210006,0.7001054576490237,0.0,0.0
1,bigfour_continental,baseline,4,596.22,899.4799999999996,1.5086377511656763,0.03424942758319989,0.700231549442396,0.0,0.0
1,bigfour_continental,baseline,5,608.465,903.2199999999998,1.4844239192065274,0.034820184855291564,0.7001467713496752,0.0,0.0
1,bigfour_continental,baseline,6,597.605,1004.1199999999999,1.6802402925008992,0.035362705393775756,0.6999845494791198,0.0,0.0
1,bigfour_continental,baseline,7,621.61,868.2499999999998,1.3967761136403851,0.035976529774873575,0.7001020515593137,0.0,0.0
1,bigfour_continental,baseline,8,590.035,919.06,1.5576364113993237,0.036465936138295525,0.7000047645313504,0.0,0.0
1,bigfour_continental,baseline,9,601.44,871.03,1.4482408885341844,0.036948317941042766,0.6999250017557246,0.0,0.0
1,bigfour_continental,baseline,10,601.01,923.3899999999996,1.5363970649406826,0.03750336978567266,0.6999288245872093,0.0,0.0
1,bigfour_continental,baseline,11,599.325,965.8499999999992,1.611563008384431,0.03800919290823782,0.6998861762088993,0.0,0.0
1,bigfour_continental,baseline,12,593.96,839.1999999999998,1.4128897568859853,0.038429066984997845,0.6998030054118057,0.0,0.0
1,bigfour_continental,baseline,13,611.02,916.1399999999999,1.499361723020523,0.038852902103211004,0.6997390174169812,0.0,0.0
1,bigfour_continental,baseline,14,589.115,852.6799999999994,1.4473914261222331,0.03929237596526306,0.6998538464869211,0.0,0.0
1,bigfour_continental,baseline,15,591.19,956.5499999999995,1.618007747086384,0.039645472077788096,0.6995129901203145,0.0,0.0
1,bigfour_continental,baseline,16,599.385,962.1499999999999,1.6052286927433952,0.04006038150583287,0.6994696550860826,0.0,0.0
1,bigfour_continental,baseline,17,607.135,977.0999999999999,1.6093620035082805,0.04035120936414512,0.6994983213470519,0.0,0.0
1,bigfour_continental,baseline,18,590.82,822.1799999999998,1.3915913476185637,0.040808368293699326,0.6993261099213215,0.0,0.0
1,bigfour_continental,baseline,19,603.24,880.0,1.4587892049598832,0.041202836448953215,0.699403281392164,0.0,0.0
1,bigfour_continental,baseline,20,594.03,911.1899999999998,1.5339124286652186,0.04159864967869846,0.6994199875845698,0.0,0.0
1,bigfour_continental,G0,1,539.01,1617.6999999999994,3.001243019610025,0.03180209137568772,0.6895436129445875,0.74235,0.8318905888094054
1,bigfour_continental,G0,2,582.09,1648.1899999999998,2.831503719356113,0.031893026074902145,0.6798776294979006,0.7435550000000001,0.8314813826629404
1,bigfour_continental,G0,3,564.67,1522.3099999999988,2.695928595462835,0.031836230961147606,0.6705632492135055,0.7434274999999999,0.8317369606748357
