profile_num,profile_label,scenario,L
1,bigfour_continental,baseline,729
1,bigfour_continental,baseline,836
1,bigfour_continental,baseline,506
1,bigfour_continental,baseline,523
1,bigfour_continental,baseline,658
1,bigfour_continental,baseline,632
1,bigfour_continental,baseline,1039
1,bigfour_continental,baseline,496
1,bigfour_continental,baseline,489
1,bigfour_continental,baseline,647
1,bigfour_continental,baseline,643
1,bigfour_continental,baseline,814
1,bigfour_continental,baseline,351
1,bigfour_continental,baseline,454
1,bigfour_continental,baseline,642
1,bigfour_continental,baseline,398
1,bigfour_continental,baseline,657
1,bigfour_continental,baseline,607
1,bigfour_continental,baseline,559
1,bigfour_continental,baseline,427
1,bigfour_continental,baseline,602
1,bigfour_continental,baseline,564
1,bigfour_continental,baseline,684
1,bigfour_continental,baseline,654
1,bigfour_continental,baseline,647
1,bigfour_continental,baseline,421
1,bigfour_continental,baseline,746
1,bigfour_continental,baseline,545
1,bigfour_continental,baseline,660
1,bigfour_continental,baseline,689
1,bigfour_continental,baseline,803
1,bigfour_continental,baseline,839
1,bigfour_continental,baseline,336
1,bigfour_continental,baseline,938
1,bigfour_continental,baseline,602
1,bigfour_continental,baseline,551
1,bigfour_continental,baseline,667
1,bigfour_continental,baseline,479
1,bigfour_continental,baseline,714
1,bigfour_continental,baseline,533
1,bigfour_continental,baseline,593
1,bigfour_continental,baseline,453
1,bigfour_continental,baseline,745
1,bigfour_continental,baseline,624
1,bigfour_continental,baseline,412
1,bigfour_continental,baseline,664
1,bigfour_continental,baseline,744
1,bigfour_continental,baseline,522
1,bigfour_continental,baseline,757
1,bigfour_continental,baseline,739
1,bigfour_continental,baseline,669
1,bigfour_continental,baseline,468
1,bigfour_continental,baseline,457
1,bigfour_continental,baseline,577
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,715
1,bigfour_continental,baseline,669
1,bigfour_continental,baseline,608
1,bigfour_continental,baseline,737
1,bigfour_continental,baseline,587
1,bigfour_continental,baseline,788
1,bigfour_continental,baseline,364
1,bigfour_continental,baseline,577
1,bigfour_continental,baseline,500
1,bigfour_continental,baseline,583
1,bigfour_continental,baseline,613
1,bigfour_continental,baseline,704
1,bigfour_continental,baseline,683
1,bigfour_continental,baseline,535
1,bigfour_continental,baseline,637
1,bigfour_continental,baseline,513
1,bigfour_continental,baseline,515
1,bigfour_continental,baseline,576
1,bigfour_continental,baseline,683
1,bigfour_continental,baseline,551
1,bigfour_continental,baseline,360
1,bigfour_continental,baseline,660
1,bigfour_continental,baseline,781
1,bigfour_continental,baseline,622
1,bigfour_continental,baseline,545
1,bigfour_continental,baseline,567
1,bigfour_continental,baseline,572
1,bigfour_continental,baseline,812
1,bigfour_continental,baseline,925
1,bigfour_continental,baseline,587
1,bigfour_continental,baseline,464
1,bigfour_continental,baseline,383
1,bigfour_continental,baseline,786
1,bigfour_continental,baseline,325
1,bigfour_continental,baseline,539
1,bigfour_continental,baseline,381
1,bigfour_continental,baseline,463
1,bigfour_continental,baseline,672
1,bigfour_continental,baseline,655
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,560
1,bigfour_continental,baseline,826
1,bigfour_continental,baseline,672
1,bigfour_continental,baseline,745
1,bigfour_continental,baseline,464
1,bigfour_continental,baseline,685
1,bigfour_continental,baseline,604
1,bigfour_continental,baseline,590
1,bigfour_continental,baseline,474
1,bigfour_continental,baseline,431
1,bigfour_continental,baseline,742
1,bigfour_continental,baseline,461
1,bigfour_continental,baseline,728
1,bigfour_continental,baseline,685
1,bigfour_continental,baseline,596
1,bigfour_continental,baseline,353
1,bigfour_continental,baseline,621
1,bigfour_continental,baseline,834
1,bigfour_continental,baseline,646
1,bigfour_continental,baseline,646
1,bigfour_continental,baseline,786
1,bigfour_continental,baseline,786
1,bigfour_continental,baseline,784
1,bigfour_continental,baseline,840
1,bigfour_continental,baseline,451
1,bigfour_continental,baseline,733
1,bigfour_continental,baseline,644
1,bigfour_continental,baseline,504
1,bigfour_continental,baseline,844
1,bigfour_continental,baseline,388
1,bigfour_continental,baseline,456
1,bigfour_continental,baseline,558
1,bigfour_continental,baseline,625
1,bigfour_continental,baseline,614
1,bigfour_continental,baseline,814
1,bigfour_continental,baseline,805
1,bigfour_continental,baseline,543
1,bigfour_continental,baseline,587
1,bigfour_continental,baseline,629
1,bigfour_continental,baseline,649
1,bigfour_continental,baseline,478
1,bigfour_continental,baseline,562
1,bigfour_continental,baseline,654
1,bigfour_continental,baseline,376
1,bigfour_continental,baseline,828
1,bigfour_continental,baseline,416
1,bigfour_continental,baseline,466
1,bigfour_continental,baseline,651
1,bigfour_continental,baseline,573
1,bigfour_continental,baseline,440
1,bigfour_continental,baseline,435
1,bigfour_continental,baseline,783
1,bigfour_continental,baseline,629
1,bigfour_continental,baseline,537
1,bigfour_continental,baseline,609
1,bigfour_continental,baseline,639
1,bigfour_continental,baseline,812
1,bigfour_continental,baseline,561
1,bigfour_continental,baseline,611
1,bigfour_continental,baseline,653
1,bigfour_continental,baseline,487
1,bigfour_continental,baseline,485
1,bigfour_continental,baseline,580
1,bigfour_continental,baseline,812
1,bigfour_continental,baseline,553
1,bigfour_continental,baseline,532
1,bigfour_continental,baseline,788
1,bigfour_continental,baseline,594
1,bigfour_continental,baseline,681
1,bigfour_continental,baseline,835
1,bigfour_continental,baseline,573
1,bigfour_continental,baseline,432
1,bigfour_continental,baseline,790
1,bigfour_continental,baseline,537
1,bigfour_continental,baseline,449
1,bigfour_continental,baseline,404
1,bigfour_continental,baseline,635
1,bigfour_continental,baseline,565
1,bigfour_continental,baseline,514
1,bigfour_continental,baseline,788
1,bigfour_continental,baseline,649
1,bigfour_continental,baseline,491
1,bigfour_continental,baseline,588
1,bigfour_continental,baseline,774
1,bigfour_continental,baseline,528
1,bigfour_continental,baseline,574
1,bigfour_continental,baseline,484
1,bigfour_continental,baseline,705
1,bigfour_continental,baseline,438
1,bigfour_continental,baseline,461
1,bigfour_continental,baseline,637
1,bigfour_continental,baseline,640
1,bigfour_continental,baseline,584
1,bigfour_continental,baseline,484
1,bigfour_continental,baseline,394
1,bigfour_continental,baseline,731
1,bigfour_continental,baseline,564
1,bigfour_continental,baseline,665
1,bigfour_continental,baseline,353
1,bigfour_continental,baseline,568
1,bigfour_continental,baseline,632
1,bigfour_continental,baseline,483
1,bigfour_continental,baseline,515
1,bigfour_continental,baseline,540
