quarter_type,quarter_id,agent,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
good,65_3,112,0,0,0,0,0,0,0,0,0,0
good,65_3,113,0,0,0,0,0,1,0,0,0,0
good,65_3,114,0,0,0,0,0,0,0,0,0,0
good,65_3,115,0,0,0,0,0,0,0,0,0,0
good,65_3,116,0,0,0,0,0,0,0,0,0,1
good,65_3,117,0,0,0,0,0,0,0,0,0,0
good,65_3,118,0,0,0,0,0,0,0,0,0,0
good,65_3,119,1,0,0,0,0,0,0,0,1,0
good,65_3,120,0,0,0,0,0,0,0,0,0,0
good,65_3,121,0,0,0,0,0,0,0,0,0,0
good,65_3,122,0,0,0,0,0,0,0,0,0,0
good,65_3,123,0,0,0,0,0,0,0,0,0,0
good,65_3,124,0,0,0,0,0,0,0,0,0,0
good,65_3,125,0,0,0,0,0,0,0,0,0,0
good,65_3,126,0,0,0,0,0,0,0,0,0,0
good,65_3,127,0,0,0,0,0,0,0,0,0,0
good,65_3,128,0,1,0,0,0,0,0,0,0,0
good,65_3,129,0,0,0,0,0,0,0,0,0,0
good,65_3,130,0,0,0,0,0,0,0,0,0,1
good,65_3,131,0,1,0,1,0,0,0,0,0,0
good,65_3,132,0,0,0,0,0,0,0,0,0,1
good,65_3,133,0,0,0,0,0,0,0,0,0,0
good,65_3,134,0,0,0,0,0,0,0,0,0,0
good,65_3,135,0,0,0,0,0,0,0,0,0,0
good,65_3,136,0,0,0,0,0,0,1,0,0,0
good,65_3,137,0,0,0,0,0,0,0,0,0,0
good,65_3,138,0,0,0,0,0,0,0,0,0,0
good,65_3,139,0,1,0,0,0,0,0,0,0,0
good,65_3,140,0,0,0,0,0,0,0,0,0,0
good,65_3,141,0,0,0,0,0,0,0,0,0,1
good,65_3,142,0,0,0,0,0,0,0,0,0,0
good,65_3,143,0,0,0,0,0,0,0,0,0,0
good,65_3,144,0,1,0,0,0,0,0,0,0,0
good,65_3,145,0,0,0,0,0,0,0,0,0,0
good,65_3,146,0,0,0,0,0,0,0,0,0,0
good,65_3,147,0,0,0,0,0,0,0,0,0,0
good,65_3,148,0,0,0,0,0,0,0,0,0,0
good,65_3,149,0,0,0,0,0,0,0,0,0,0
good,65_3,150,0,0,0,0,0,0,0,0,0,0
good,65_3,151,0,0,0,0,0,0,0,0,0,0
good,65_3,152,1,1,0,0,0,0,0,0,0,0
good,65_3,153,0,0,0,0,0,0,0,0,0,0
good,65_3,154,1,1,0,0,0,0,0,0,0,0
good,65_3,155,0,0,0,0,0,0,0,0,0,1
good,65_3,156,0,0,0,0,0,0,0,0,0,0
good,65_3,157,0,0,0,0,0,0,0,0,0,0
good,65_3,158,0,0,0,0,0,0,0,0,0,0
good,65_3,159,0,0,0,0,0,0,0,0,0,0
good,65_3,160,0,0,0,0,0,0,0,0,0,0
good,65_3,161,0,0,0,0,0,0,0,0,0,0
good,65_3,162,0,0,0,0,0,0,0,0,0,0
good,65_3,163,0,0,0,0,0,0,0,0,0,0
good,65_3,164,0,0,0,1,0,0,0,0,0,0
good,65_3,165,0,0,0,0,0,0,0,0,0,0
