profile_id,city,scenario,bin_lo,bin_hi,count,density,mean_loss,p99_brut,p99_theta,tail_ratio,output_mean,crisis_pct
P1,Frankfurt,G2,0,100,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,100,200,10,1e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,200,300,372,0.000372,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,300,400,1339,0.001339,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,400,500,2225,0.002225,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,500,600,2255,0.002255,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,600,700,1646,0.001646,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,700,800,824,0.000824,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,800,900,406,0.000406,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,900,1000,196,0.000196,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1000,1100,152,0.000152,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1100,1200,228,0.000228,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1200,1300,234,0.000234,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1300,1400,98,9.8e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1400,1500,15,1.5e-05,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1500,1600,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1600,1700,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1700,1800,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P1,Frankfurt,G2,1800,1900,0,0.0,587.7687,1302.06,1458.3072,2.2153,1581.699,0.08
P2,London,baseline,0,100,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,100,200,80,8e-05,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,200,300,1342,0.001342,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,300,400,3683,0.003683,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,400,500,3366,0.003366,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,500,600,1255,0.001255,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,600,700,247,0.000247,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,700,800,25,2.5e-05,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,800,900,1,1e-06,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,900,1000,1,1e-06,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1000,1100,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1100,1200,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1200,1300,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1300,1400,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1400,1500,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1500,1600,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1600,1700,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1700,1800,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,baseline,1800,1900,0,0.0,400.912,635.01,635.01,1.5839,1599.088,0.08
P2,London,G0,0,100,2,2e-06,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,100,200,432,0.000432,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,200,300,1196,0.001196,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,300,400,2105,0.002105,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,400,500,2163,0.002163,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,500,600,1603,0.001603,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,600,700,960,0.00096,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,700,800,533,0.000533,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,800,900,255,0.000255,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,900,1000,171,0.000171,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1000,1100,165,0.000165,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1100,1200,148,0.000148,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1200,1300,128,0.000128,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1300,1400,88,8.8e-05,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1400,1500,43,4.3e-05,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1500,1600,8,8e-06,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1600,1700,0,0.0,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1700,1800,0,0.0,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G0,1800,1900,0,0.0,507.4385,1334.02,1667.525,2.6289,1865.7019,0.08
P2,London,G1,0,100,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,100,200,104,0.000104,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,200,300,917,0.000917,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,300,400,2293,0.002293,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,400,500,2779,0.002779,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,500,600,1852,0.001852,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,600,700,916,0.000916,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,700,800,412,0.000412,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,800,900,247,0.000247,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,900,1000,212,0.000212,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1000,1100,151,0.000151,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1100,1200,88,8.8e-05,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1200,1300,26,2.6e-05,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1300,1400,3,3e-06,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1400,1500,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1500,1600,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1600,1700,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1700,1800,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G1,1800,1900,0,0.0,493.992,1109.05,1330.86,2.2451,1807.2096,0.08
P2,London,G2,0,100,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,100,200,62,6.2e-05,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,200,300,951,0.000951,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,300,400,2851,0.002851,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,400,500,3187,0.003187,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,500,600,1719,0.001719,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,600,700,630,0.00063,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,700,800,349,0.000349,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,800,900,161,0.000161,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,900,1000,80,8e-05,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1000,1100,10,1e-05,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1100,1200,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1200,1300,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1300,1400,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1400,1500,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1500,1600,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1600,1700,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1700,1800,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P2,London,G2,1800,1900,0,0.0,452.2493,877.05,1034.919,1.9393,1826.3459,0.08
P3,Paris,baseline,0,100,1,1e-06,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,100,200,151,0.000151,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,200,300,1569,0.001569,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,300,400,3483,0.003483,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,400,500,3044,0.003044,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,500,600,1333,0.001333,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,600,700,355,0.000355,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,700,800,57,5.7e-05,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,800,900,7,7e-06,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,900,1000,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1000,1100,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1100,1200,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1200,1300,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1300,1400,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1400,1500,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1500,1600,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1600,1700,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1700,1800,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,baseline,1800,1900,0,0.0,402.2875,686.03,686.03,1.7053,1597.7125,0.08
P3,Paris,G0,0,100,193,0.000193,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,100,200,1961,0.001961,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,200,300,1679,0.001679,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,300,400,1498,0.001498,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,400,500,1365,0.001365,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,500,600,866,0.000866,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,600,700,666,0.000666,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,700,800,449,0.000449,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,800,900,279,0.000279,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,900,1000,124,0.000124,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1000,1100,84,8.4e-05,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1100,1200,45,4.5e-05,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1200,1300,41,4.1e-05,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1300,1400,62,6.2e-05,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1400,1500,119,0.000119,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1500,1600,379,0.000379,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1600,1700,181,0.000181,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1700,1800,9,9e-06,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G0,1800,1900,0,0.0,480.797,1633.02,2041.275,3.3965,1899.0038,0.08
P3,Paris,G1,0,100,9,9e-06,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,100,200,689,0.000689,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,200,300,2025,0.002025,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,300,400,2174,0.002174,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,400,500,1700,0.0017,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,500,600,1156,0.001156,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,600,700,767,0.000767,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,700,800,408,0.000408,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,800,900,173,0.000173,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,900,1000,87,8.7e-05,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1000,1100,68,6.8e-05,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1100,1200,108,0.000108,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1200,1300,310,0.00031,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1300,1400,264,0.000264,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1400,1500,60,6e-05,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1500,1600,2,2e-06,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1600,1700,0,0.0,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1700,1800,0,0.0,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G1,1800,1900,0,0.0,482.7978,1374.03,1648.836,2.846,1820.6427,0.08
P3,Paris,G2,0,100,1,1e-06,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,100,200,390,0.00039,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,200,300,1915,0.001915,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,300,400,2744,0.002744,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,400,500,2147,0.002147,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,500,600,1188,0.001188,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,600,700,556,0.000556,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,700,800,227,0.000227,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,800,900,131,0.000131,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,900,1000,275,0.000275,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1000,1100,305,0.000305,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1100,1200,107,0.000107,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1200,1300,14,1.4e-05,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
P3,Paris,G2,1300,1400,0,0.0,446.7622,1104.01,1302.7318,2.4711,1832.8205,0.08
